30-01-2020,0,0,0,,,
31-02-2020,0,0,0,,,
01-02-2020,0,0,0,,,
02-02-2020,0,0,0,,,
03-02-2020,0,0,0,,,
04-02-2020,0,0,0,,,
05-02-2020,0,0,0,,,
06-02-2020,0,0,0,,,
07-02-2020,0,0,0,,,
08-02-2020,0,0,0,,,
09-02-2020,0,0,0,,,
10-02-2020,0,0,0,,,
11-02-2020,0,0,0,,,
12-02-2020,0,0,0,,,
13-02-2020,0,0,0,,,
14-02-2020,0,0,0,,,
15-02-2020,0,0,0,,,
16-02-2020,0,0,0,,,
17-02-2020,0,0,0,,,
18-02-2020,0,0,0,,,
19-02-2020,0,0,0,,,
20-02-2020,0,0,0,,,
21-02-2020,0,0,0,,,
22-02-2020,0,0,0,,,
23-02-2020,0,0,0,,,
24-02-2020,0,0,0,,,
25-02-2020,0,0,0,,,
26-02-2020,0,0,0,,,
27-02-2020,0,0,0,,,
28-02-2020,0,0,0,,,
29-02-2020,0,0,0,,,
01-03-2020,0,0,0,,,
02-03-2020,0,0,0,,,0
03-03-2020,0,0,0,,,
04-03-2020,0,0,0,,,
05-03-2020,0,0,0,,,
06-03-2020,0,0,0,,,
07-03-2020,0,0,0,,,
08-03-2020,0,0,0,,,
09-03-2020,0,0,1,,,
10-03-2020,0,0,1,,,
11-03-2020,0,0,1,,,
12-03-2020,0,0,1,,,
13-03-2020,0,0,1,,,
14-03-2020,0,0,2,,,
15-03-2020,0,0,2,,,
16-03-2020,0,0,3,,,
17-03-2020,0,0,3,,,
18-03-2020,0,0,3,,,
19-03-2020,0,0,4,,,
20-03-2020,0,0,4,,,
21-03-2020,0,0,4,,,
22-03-2020,0,0,4,,,
23-03-2020,0,0,4,,,
24-03-2020,0,0,4,,,
25-03-2020,1,0,7,,,
26-03-2020,1,0,13,,,
27-03-2020,1,1,13,,,
28-03-2020,1,1,20,,,
29-03-2020,1,2,31,,,
30-03-2020,2,2,48,,,
31-03-2020,2,2,54,,,
01-04-2020,2,2,62,,,
02-04-2020,2,2,62,,,
03-04-2020,3,2,75,,,
04-04-2020,3,2,75,,,
05-04-2020,4,2,106,,,
06-04-2020,4,2,109,,,
07-04-2020,4,2,116,,,
08-04-2020,4,2,116,,,
09-04-2020,4,4,158,,,
10-04-2020,6,4,184,,,
11-04-2020,6,4,207,,,
12-04-2020,6,4,224,,,
13-04-2020,6,4,245,,,
14-04-2020,16,4,270,,,
15-04-2020,30,4,278,,,
16-04-2020,36,4,300,,,
17-04-2020,38,4,314,,,
18-04-2020,42,5,328,,,
19-04-2020,51,5,341,,,
20-04-2020,56,5,350,,,
21-04-2020,71,5,368,,,
22-04-2020,81,5,380,,,
23-04-2020,92,5,407,,,
24-04-2020,92,5,427,,,
25-04-2020,109,5,454,,,
26-04-2020,112,6,494,,,
27-04-2020,137,6,523,,,
28-04-2020,164,7,546,,,
29-04-2020,176,8,565,,,
30-04-2020,192,8,581,,,
01-05-2020,216,8,614,,,
02-05-2020,247,8,639,,,
03-05-2020,254,8,666,,,
04-05-2020,287,8,701,,,
05-05-2020,303,8,726,,,
06-05-2020,320,8,741,,,
07-05-2020,322,8,775,,,
08-05-2020,335,9,793,,,
09-05-2020,364,9,823,,,
10-05-2020,368,9,836,,,
11-05-2020,383,9,861,,,
